,project_number,location_name,year_range,from,to,from_lat_long,to_lat_long
136,[170 -02] 37794,On S Perry Ave From W Marquette Rd To W 68th St,2016-2020,S Perry Ave And W Marquette Rd,S Perry Ave And W 68th St,"[41.772792, -87.62837]","[41.770897, -87.628291]"
137,[170 -02] 37794,On S Ashland Ave From S Church St To W 109th St,2016-2020,S Ashland Ave And S Church St,S Ashland Ave And W 109th St,"[41.696354, -87.661976]","[41.6957833, -87.6619343]"
138,[170 -02] 37794,N Mcvicker Ave And W Ardmore Ave,2016-2020,N Mcvicker Ave And W Ardmore Ave,,"[41.9865472, -87.779173]",
139,[170 -02] 37794,N Menard Ave And W Madison St,2016-2020,N Menard Ave And W Madison St,,"[41.88322830200195, -87.63240051269531]",
140,[170 -02] 37794,N Mozart St And W Argyle St,2016-2020,N Mozart St And W Argyle St,,"[41.972172, -87.700037]",
141,[170 -02] 37794,S Austin Blvd And W Roosevelt Rd,2016-2020,S Austin Blvd And W Roosevelt Rd,,"[41.865464, -87.774103]",
142,[170 -02] 37794,S Mason Ave And W Arthington St,2016-2020,S Mason Ave And W Arthington St,,"[41.8691324, -87.7730355]",
143,[170 -02] 37794,S Mayfield Ave And W Roosevelt Rd,2016-2020,S Mayfield Ave And W Roosevelt Rd,,"[41.865507, -87.771639]",
144,[170 -02] 37794,S Monitor Ave And W Roosevelt Rd,2016-2020,S Monitor Ave And W Roosevelt Rd,,"[41.865532, -87.770402]",
145,[170 -02] 37794,S Scottsdale Ave And S Knox Ave,2016-2020,S Scottsdale Ave And S Knox Ave,,"[41.7462465, -87.7378105]",
146,[170 -02] 37794,S St Louis Ave And W Columbus Ave,2016-2020,S St Louis Ave And W Columbus Ave,,"[41.745012, -87.709608]",
147,[170 -02] 37794,W 60th Pl And S Wells St,2016-2020,W 60th Pl And S Wells St,,"[41.7849721, -87.631927]",
148,[170 -02] 37794,3500-3520 N Reta Ave,2016-2020,3500 N Reta Ave,3520 N Reta Ave,"[41.945617, -87.650999]","[41.94618, -87.651012]"
149,[170 -02] 37794,1656-1756 W Carmen Ave,2016-2020,1656 W Carmen Ave,1756 W Carmen Ave,"[41.974297720767176, -87.67405590900222]","[41.974297659493146, -87.67397933151237]"
150,[170 -02] 37794,N Moody Ave And W Ardmore Ave,2016-2020,N Moody Ave And W Ardmore Ave,,"[41.986541849999995, -87.78108345000001]",
151,[170 -02] 37794,N Normandy Ave And W Devon Ave,2016-2020,N Normandy Ave And W Devon Ave,,"[41.9972928, -87.7939388]",
152,[170 -02] 37794,S Keeler Ave And W 78th St,2016-2020,S Keeler Ave And W 78th St,,"[41.751963, -87.7263909]",
153,[170 -02] 37794,S May St And W 107th St,2016-2020,S May St And W 107th St,,"[41.699552, -87.650722]",
154,[170 -02] 37794,S Menard Ave And W Roosevelt Rd,2016-2020,S Menard Ave And W Roosevelt Rd,,"[41.865543, -87.769181]",
155,[170 -02] 37794,S Princeton Ave And W 60th Pl,2016-2020,S Princeton Ave And W 60th Pl,,"[41.784527, -87.632733]",
156,[170 -02] 37794,S Springfield Ave And W 78th St,2016-2020,S Springfield Ave And W 78th St,,"[41.7513995, -87.7203551]",
157,[170 -02] 37794,S Whipple St And W 52nd St,2016-2020,S Whipple St And W 52nd St,,"[41.79908, -87.700051]",
158,[170 -02] 37794,W 77th Pl And S Keeler Ave,2016-2020,W 77th Pl And S Keeler Ave,,"[41.7525773, -87.7263104]",
159,[170 -02] 37794,244-300 W 60th Pl,2016-2020,244 W 60th Pl,300 W 60th Pl,"[41.7847813, -87.6321272]","[41.784566703698765, -87.63291909295857]"
160,[170 -02] 37887,On S Avenue J From E 104th St To E 103rd St,2016-2020,S Avenue J And E 104th St,S Avenue J And E 103rd St,"[41.706384, -87.534067]","[41.708216, -87.534063]"
161,[170 -02] 37887,W Madison St And N Menard Ave,2016-2020,W Madison St And N Menard Ave,,"[41.88322830200195, -87.63240051269531]",
162,[170 -02] 37887,W 79th St And S Karlov Ave,2016-2020,W 79th St And S Karlov Ave,,"[41.749544, -87.724303]",
163,[170 -02] 37887,W 77th St And S Emerald Ave,2016-2020,W 77th St And S Emerald Ave,,"[41.754287, -87.642924]",
164,[170 -02] 37887,W 66th St And S Pulaski Rd,2016-2020,W 66th St And S Pulaski Rd,,"[41.773182, -87.722698]",
165,[170 -02] 37887,W 59th St And S Nashville Ave,2016-2020,W 59th St And S Nashville Ave,,"[41.7849132, -87.786413]",
166,[170 -02] 37887,W 58th Pl And S Hamlin Ave,2016-2020,W 58th Pl And S Hamlin Ave,,"[41.78692, -87.718063]",
167,[170 -02] 37887,W 52nd St And S Francisco Ave,2016-2020,W 52nd St And S Francisco Ave,,"[41.799147, -87.696395]",
168,[170 -02] 37887,W 104th St And S Hoyne Ave,2016-2020,W 104th St And S Hoyne Ave,,"[41.7046756, -87.6743016]",
169,[170 -02] 37887,S Perry Ave And W 68th St,2016-2020,S Perry Ave And W 68th St,,"[41.770897, -87.628291]",
170,[170 -02] 37887,S Lafayette Ave And W 115th St,2016-2020,S Lafayette Ave And W 115th St,,"[41.685304, -87.624128]",
171,[170 -02] 37887,S Karlov Ave And W 79th St,2016-2020,S Karlov Ave And W 79th St,,"[41.749549, -87.723984]",
172,[170 -02] 37887,S Carpenter St And W 64th St,2016-2020,S Carpenter St And W 64th St,,"[41.777835, -87.650815]",
173,[170 -02] 37887,N Washtenaw Ave And W Argyle St,2016-2020,N Washtenaw Ave And W Argyle St,,"[41.972194, -87.696362]",
174,[170 -02] 37887,N Elston Ave And W Augusta Blvd,2016-2020,N Elston Ave And W Augusta Blvd,,"[41.8998926, -87.6566581]",
175,[170 -02] 37887,E 43rd St And S Vernon Ave,2016-2020,E 43rd St And S Vernon Ave,,"[41.816684, -87.615256]",
176,[170 -02] 37887,On W 77th St From S Union Ave To S Lowe Ave,2016-2020,W 77th St And S Union Ave,W 77th St And S Lowe Ave,"[41.754311, -87.641701]","[41.754339, -87.640485]"
177,[170 -02] 37887,On S Halsted St From W 78th St To W 79th St,2016-2020,S Halsted St And W 78th St,S Halsted St And W 79th St,"[41.752467, -87.644107]","[41.750648, -87.64406]"
178,[170 -02] 37887,W Palmer St And N Cicero Ave,2016-2020,W Palmer St And N Cicero Ave,,"[41.920602, -87.746281]",
179,[170 -02] 37887,7503-7859 S Emerald Ave,2016-2020,7503 S Emerald Ave,7859 S Emerald Ave,"[41.7576024537777, -87.6429517375863]","[41.7489633, -87.64263]"
180,[170 -02] 37887,On S Green Bay Ave From E 103rd St To E 106th St,2016-2020,S Green Bay Ave And E 103rd St,S Green Bay Ave And E 106th St,"[41.708192, -87.541328]","[41.702754, -87.54132]"
181,[170 -02] 37887,W Ardmore Ave And N Austin Ave,2016-2020,W Ardmore Ave And N Austin Ave,,"[41.9865498, -87.7779736]",
182,[170 -02] 37887,W 77th St And S Perry Ave,2016-2020,W 77th St And S Perry Ave,,"[41.754527, -87.627919]",
183,[170 -02] 37887,W 73rd St And S Kedzie Ave,2016-2020,W 73rd St And S Kedzie Ave,,"[41.760748, -87.702544]",
184,[170 -02] 37887,W 65th St And S Lawndale Ave,2016-2020,W 65th St And S Lawndale Ave,,"[41.775104, -87.715331]",
185,[170 -02] 37887,W 58th St And S Halsted St,2016-2020,W 58th St And S Halsted St,,"[41.788861, -87.645025]",
186,[170 -02] 37887,W 52nd St And S Kedzie Ave,2016-2020,W 52nd St And S Kedzie Ave,,"[41.799038, -87.703717]",
187,[170 -02] 37887,W 107th St And S Morgan St,2016-2020,W 107th St And S Morgan St,,"[41.699583, -87.647486]",
188,[170 -02] 37887,W Palatine Ave And N Natoma Ave,2016-2020,W Palatine Ave And N Natoma Ave,,"[41.995511, -87.7919665]",
189,[170 -02] 37887,S Perry Ave And W Marquette Rd,2016-2020,S Perry Ave And W Marquette Rd,,"[41.772792, -87.62837]",
190,[170 -02] 37887,S Kostner Ave And W 81st Pl,2016-2020,S Kostner Ave And W 81st Pl,,"[41.7440317, -87.7311419]",
191,[170 -02] 37887,S Emerald Ave And W 79th St,2016-2020,S Emerald Ave And W 79th St,,"[41.750643, -87.64284]",
192,[170 -02] 37887,S Ashland Ave And W 108th Pl,2016-2020,S Ashland Ave And W 108th Pl,,"[41.696677, -87.661981]",
193,[170 -02] 37887,N Sheffield Ave And W Wellington Ave,2016-2020,N Sheffield Ave And W Wellington Ave,,"[41.93627, -87.653966]",
194,[170 -02] 37887,N Drake Ave And W Foster Ave,2016-2020,N Drake Ave And W Foster Ave,,"[41.975607, -87.717228]",
195,[170 -02] 37887,On W Polk St From S Wells St To S S Branch Chicago River,2016-2020,W Polk St And S Wells St,W Polk St And S S Branch Chicago River,"[41.8721357, -87.6335759]","[41.8701036125694, -87.7527233688817]"
196,[170 -02] 37887,On W 62nd St From S Ashland Ave To S Laflin St,2016-2020,W 62nd St And S Ashland Ave,W 62nd St And S Laflin St,"[41.7813113, -87.6643563]","[41.781327, -87.661847]"
197,[170 -02] 37887,S Morgan St And W 107th St,2016-2020,S Morgan St And W 107th St,,"[41.699583, -87.647486]",
198,[170 -02] 37887,W Polk St And S Pulaski Rd,2016-2020,W Polk St And S Pulaski Rd,,"[41.870952, -87.725327]",
199,[170 -02] 38307,On S Ada St From W 79th St To W 77th St,2016-2020,S Ada St And W 79th St,S Ada St And W 77th St,"[41.750444, -87.656992]","[41.754078, -87.657062]"
200,[170 -02] 38307,On W 77th St From S Loomis Blvd To S Bishop St,2016-2020,W 77th St And S Loomis Blvd,W 77th St And S Bishop St,"[41.754071, -87.658693]","[41.754052, -87.660308]"
201,[170 -02] 38307,On W 77th St From S Ada St To S Throop St,2016-2020,W 77th St And S Ada St,W 77th St And S Throop St,"[41.754078, -87.657062]","[41.7541171, -87.6554428]"
202,[170 -02] 38382,On E Oakwood Blvd From S Langley Ave To S Vincennes Ave,2016-2020,E Oakwood Blvd And S Langley Ave,E Oakwood Blvd And S Vincennes Ave,"[41.822738, -87.609784]","[41.822698, -87.612877]"
203,[170 -02] 38382,On S Langley Ave From E 40th St To E Oakwood Blvd,2016-2020,S Langley Ave And E 40th St,S Langley Ave And E Oakwood Blvd,"[41.821471, -87.609754]","[41.822738, -87.609784]"
204,[170 -02] 38386,On W Montrose Ave From N Narragansett Ave To N Austin Ave,2016-2020,W Montrose Ave And N Narragansett Ave,W Montrose Ave And N Austin Ave,"[41.9602162, -87.786825]","[41.9603599, -87.7770283]"
205,[170 -02] 38386,W Montrose Ave And N Mulligan Ave,2016-2020,W Montrose Ave And N Mulligan Ave,,"[41.960252, -87.785553]",
206,[170 -02] 38386,W Montrose Ave And N Mobile Ave,2016-2020,W Montrose Ave And N Mobile Ave,,"[41.960265, -87.784335]",
207,[170 -02] 38406,On S Natoma Ave From W 57th St To W 56th St,2016-2020,S Natoma Ave And W 57th St,S Natoma Ave And W 56th St,"[41.788582, -87.787736]","[41.790433, -87.787807]"
208,[170 -02] 38406,On W 56th St From S Nottingham Ave To S New England Ave,2016-2020,W 56th St And S Nottingham Ave,W 56th St And S New England Ave,"[41.7902499, -87.7989121]","[41.790314, -87.793908]"
209,[170 -02] 38406,On W 56th St From S Natoma Ave To S Neva Ave,2016-2020,W 56th St And S Natoma Ave,W 56th St And S Neva Ave,"[41.790433, -87.787807]","[41.7902299, -87.8001942]"
210,[170 -02] 38406,On W 57th St From S Nashville Ave To S Natoma Ave,2016-2020,W 57th St And S Nashville Ave,W 57th St And S Natoma Ave,"[41.788607, -87.786485]","[41.788582, -87.787736]"
211,[170 -02] 38786,On N Narragansett Ave From W Roscoe St To W Addison St,2016-2020,N Narragansett Ave And W Roscoe St,N Narragansett Ave And W Addison St,"[41.941997, -87.786173]","[41.94568, -87.786294]"
212,[170 -02] 38786,W Newport Ave And N Narragansett Ave,2016-2020,W Newport Ave And N Narragansett Ave,,"[41.94293, -87.786221]",
213,[170 -02] 38786,On W Cornelia Ave From N Nagle Ave To N Narragansett Ave,2016-2020,W Cornelia Ave And N Nagle Ave,W Cornelia Ave And N Narragansett Ave,"[41.943829, -87.787469]","[41.943842, -87.786262]"
214,[170 -02] 38787,On N Octavia Ave From W Jarvis Ave To W Birchwood Ave,2016-2020,N Octavia Ave And W Jarvis Ave,N Octavia Ave And W Birchwood Ave,"[42.0152903, -87.8090486]","[42.017087, -87.809024]"
215,[170 -02] 38787,On N Overhill Ave From W Sherwin Ave To W Birchwood Ave,2016-2020,N Overhill Ave And W Sherwin Ave,N Overhill Ave And W Birchwood Ave,"[42.0141385, -87.8188146]","[42.0168859, -87.8187884]"
216,[170 -02] 38787,On W Jarvis Ave From N Ottawa Ave To N Overhill Ave,2016-2020,W Jarvis Ave And N Ottawa Ave,W Jarvis Ave And N Overhill Ave,"[42.0150712, -87.8175616]","[42.0150532, -87.8187831]"
217,[170 -02] 38787,On N Ottawa Ave From W Jarvis Ave To W Chase Ave,2016-2020,N Ottawa Ave And W Jarvis Ave,N Ottawa Ave And W Chase Ave,"[42.0150712, -87.8175616]","[42.013273, -87.817587]"
218,[170 -02] 38787,On W Jarvis Ave From N Oriole Ave To N Ottawa Ave,2016-2020,W Jarvis Ave And N Oriole Ave,W Jarvis Ave And N Ottawa Ave,"[42.0160414000167, -87.6692769000023]","[42.0150712, -87.8175616]"
219,[170 -02] 38787,N Oriole Ave And W Birchwood Ave,2016-2020,N Oriole Ave And W Birchwood Ave,,"[42.016936, -87.816354]",
220,[170 -02] 38788,On S Karlov Ave From W 62nd St To W 61st St,2016-2020,S Karlov Ave And W 62nd St,S Karlov Ave And W 61st St,"[41.780424, -87.725241]","[41.7822397, -87.7252404]"
221,[170 -02] 38788,On W 61st St From S Karlov Ave To S Komensky Ave,2016-2020,W 61st St And S Karlov Ave,W 61st St And S Komensky Ave,"[41.7822397, -87.7252404]","[41.782269, -87.724089]"
222,[170 -02] 38788,On W 62nd St From S Keeler Ave To S Kildare Ave,2016-2020,W 62nd St And S Keeler Ave,W 62nd St And S Kildare Ave,"[41.780395, -87.727697]","[41.78037, -87.73013]"
223,[170 -02] 38788,On W 62nd St From S Komensky Ave To S Karlov Ave,2016-2020,W 62nd St And S Komensky Ave,W 62nd St And S Karlov Ave,"[41.780445, -87.724026]","[41.780424, -87.725241]"
224,[170 -02] 38788,On W 61st St From S Karlov Ave To S Kedvale Ave,2016-2020,W 61st St And S Karlov Ave,W 61st St And S Kedvale Ave,"[41.7822397, -87.7252404]","[41.7822317, -87.7265278]"
225,[170 -02] 38788,On W 62nd St From S Karlov Ave To S Keeler Ave,2016-2020,W 62nd St And S Karlov Ave,W 62nd St And S Keeler Ave,"[41.780424, -87.725241]","[41.780395, -87.727697]"
226,[170 -02] 38788,On W 62nd St From S Kildare Ave To S Kostner Ave,2016-2020,W 62nd St And S Kildare Ave,W 62nd St And S Kostner Ave,"[41.78037, -87.73013]","[41.780346, -87.732586]"
227,[170 -02] 38788,On W 62nd St From S Pulaski Rd To S Komensky Ave,2016-2020,W 62nd St And S Pulaski Rd,W 62nd St And S Komensky Ave,"[41.7804754, -87.7228809]","[41.780445, -87.724026]"
228,[170 -02] 38789,On W 53rd St From S Hamlin Ave To S Millard Ave,2016-2020,W 53rd St And S Hamlin Ave,W 53rd St And S Millard Ave,"[41.796985, -87.718349]","[41.797037, -87.714698]"
229,[170 -02] 38789,On W 53rd St From S Springfield Ave To S Hamlin Ave,2016-2020,W 53rd St And S Springfield Ave,W 53rd St And S Hamlin Ave,"[41.796948, -87.720798]","[41.796985, -87.718349]"
230,[170 -02] 38789,On W 53rd St From S Pulaski Rd To S Springfield Ave,2016-2020,W 53rd St And S Pulaski Rd,W 53rd St And S Springfield Ave,"[41.796887, -87.72333]","[41.796948, -87.720798]"
231,[170 -02] 38790,On N Mobile Ave From W Bloomingdale Ave To W Cortland St,2016-2020,N Mobile Ave And W Bloomingdale Ave,N Mobile Ave And W Cortland St,"[41.912847, -87.78253]","[41.9146608, -87.7821653]"
232,[170 -02] 38790,On W Cortland St From N Mobile Ave To N Mulligan Ave,2016-2020,W Cortland St And N Mobile Ave,W Cortland St And N Mulligan Ave,"[41.9146608, -87.7821653]","[41.91464, -87.783504]"
233,[170 -02] 38790,On N Mobile Ave From W Bloomingdale Ave To W Wabansia Ave,2016-2020,N Mobile Ave And W Bloomingdale Ave,N Mobile Ave And W Wabansia Ave,"[41.912847, -87.78253]","[41.910996, -87.783384]"
234,[170 -02] 38790,On W Wabansia Ave From N Mobile Ave To N Narragansett Ave,2016-2020,W Wabansia Ave And N Mobile Ave,W Wabansia Ave And N Narragansett Ave,"[41.910996, -87.783384]","[41.910967, -87.785024]"
235,[170 -02] 38791,On W 60th St From S Mobile Ave To S Merrimac Ave,2016-2020,W 60th St And S Mobile Ave,W 60th St And S Merrimac Ave,"[41.783207, -87.778928]","[41.783221, -87.77773]"
236,[170 -02] 38791,On W 60th St From S Nagle Ave To S Narragansett Ave,2016-2020,W 60th St And S Nagle Ave,W 60th St And S Narragansett Ave,"[41.7831479, -87.7827176]","[41.783176, -87.781467]"
237,[170 -02] 38791,On W 60th St From S Natchez Ave To S Nagle Ave,2016-2020,W 60th St And S Natchez Ave,W 60th St And S Nagle Ave,"[41.7831279, -87.7839139]","[41.7831479, -87.7827176]"
238,[170 -02] 38791,On W 60th St From S Normandy Ave To S Natoma Ave,2016-2020,W 60th St And S Normandy Ave,W 60th St And S Natoma Ave,"[41.7830719, -87.7888116]","[41.7830839, -87.7875778]"
239,[170 -02] 38791,On W 60th St From S Mulligan Ave To S Mobile Ave,2016-2020,W 60th St And S Mulligan Ave,W 60th St And S Mobile Ave,"[41.783192, -87.7802336]","[41.783207, -87.778928]"
240,[170 -02] 38791,On W 60th St From S Narragansett Ave To S Mulligan Ave,2016-2020,W 60th St And S Narragansett Ave,W 60th St And S Mulligan Ave,"[41.783176, -87.781467]","[41.783192, -87.7802336]"
241,[170 -02] 38791,On W 60th St From S Natoma Ave To S Nashville Ave,2016-2020,W 60th St And S Natoma Ave,W 60th St And S Nashville Ave,"[41.7830839, -87.7875778]","[41.7830959, -87.7863762]"
242,[170 -02] 38791,On W 60th St From S Rutherford Ave To S Normandy Ave,2016-2020,W 60th St And S Rutherford Ave,W 60th St And S Normandy Ave,"[41.7830439, -87.7900079]","[41.7830719, -87.7888116]"
243,[170 -02] 38791,6534-6600 W 60th St,2016-2020,6534 W 60th St,6600 W 60th St,"[41.7831607994285, -87.78446164282114]","[41.78311919638739, -87.78711958295126]"
244,[170 -02] 38792,On S Aberdeen St From W 105th St To W 104th Pl,2016-2020,S Aberdeen St And W 105th St,S Aberdeen St And W 104th Pl,"[41.703212, -87.649971]","[41.704087, -87.650003]"
245,[170 -02] 38792,On W 105th St From S Morgan St To S Sangamon St,2016-2020,W 105th St And S Morgan St,W 105th St And S Sangamon St,"[41.703231, -87.647567]","[41.703239, -87.646357]"
246,[170 -02] 38792,S Aberdeen St And W 103rd St,2016-2020,S Aberdeen St And W 103rd St,,"[41.706849, -87.650134]",
247,[170 -02] 38792,On W 105th St From S Green St To S Halsted St,2016-2020,W 105th St And S Green St,W 105th St And S Halsted St,"[41.703263, -87.643946]","[41.703284, -87.642671]"
248,[170 -02] 38792,On W 105th St From S Sangamon St To S Green St,2016-2020,W 105th St And S Sangamon St,W 105th St And S Green St,"[41.703239, -87.646357]","[41.703263, -87.643946]"
249,[170 -02] 38794,On W 100th St From S Normal Ave To S Emerald Ave,2016-2020,W 100th St And S Normal Ave,W 100th St And S Emerald Ave,"[41.712479, -87.6357]","[41.712407, -87.641767]"
250,[170 -02] 38794,On W 101st St From S Morgan St To S Green St,2016-2020,W 101st St And S Morgan St,W 101st St And S Green St,"[41.710493, -87.647775]","[41.71054, -87.64416]"
251,[170 -02] 38795,On S Calumet Ave From E 87th St To E 89th St,2016-2020,S Calumet Ave And E 87th St,S Calumet Ave And E 89th St,"[41.736476, -87.61616]","[41.732831, -87.616056]"
252,[170 -02] 38795,S Calumet Ave And E 89th St,2016-2020,S Calumet Ave And E 89th St,,"[41.732831, -87.616056]",
253,[170 -02] 38795,On S Eberhart Ave From E 87th St To E 89th St,2016-2020,S Eberhart Ave And E 87th St,S Eberhart Ave And E 89th St,"[41.7365419, -87.6120975]","[41.732882, -87.612022]"
254,[170 -02] 38796,On E 102nd Pl From S State St To S Michigan Ave,2016-2020,E 102nd Pl And S State St,E 102nd Pl And S Michigan Ave,"[41.708083, -87.623554]","[41.708131, -87.620077]"
255,[170 -02] 38796,On W 102nd St From S Perry Ave To S La Salle St,2016-2020,W 102nd St And S Perry Ave,W 102nd St And S La Salle St,"[41.708943, -87.625956]","[41.708939, -87.627158]"
256,[170 -02] 38796,On W 99th St From S La Salle St To S State St,2016-2020,W 99th St And S La Salle St,W 99th St And S State St,"[41.714398, -87.627293]","[41.71435, -87.623508]"
257,[170 -02] 38796,E 102nd St And S State St,2016-2020,E 102nd St And S State St,,"[41.708988, -87.623572]",
258,[170 -02] 38796,On S Perry Ave From W 101st St To W 102nd St,2016-2020,S Perry Ave And W 101st St,S Perry Ave And W 102nd St,"[41.710774, -87.6259925]","[41.708943, -87.625956]"
259,[170 -02] 38796,On W 102nd St From S Perry Ave To S Lafayette Ave,2016-2020,W 102nd St And S Perry Ave,W 102nd St And S Lafayette Ave,"[41.708943, -87.625956]","[41.708975, -87.624785]"
260,[170 -02] 38796,On W 99th St From S Wentworth Ave To S La Salle St,2016-2020,W 99th St And S Wentworth Ave,W 99th St And S La Salle St,"[41.714155, -87.628545]","[41.714398, -87.627293]"
261,[170 -02] 38797,On N Keeler Ave From W Augusta Blvd To W Walton St,2016-2020,N Keeler Ave And W Augusta Blvd,N Keeler Ave And W Walton St,"[41.898961, -87.731123]","[41.898023, -87.7310892]"
